Issue key,Team,Sprint,Story Points,Parent key,Parent summary
TUNGSTEN-339,Tungsten,Tungsten-26.1-S1,5.0,,
TUNGSTEN-247,Tungsten,Tungsten-26.1-S4,8.0,,
PPCLOUD-13322,Zn2C,Zn2C-26.1-S1,3.0,,
PPCLOUD-13318,Zn2C,Zn2C-26.1-S1,1.0,,
PPCLOUD-12973,Zn2C,Zn2C-26.1-S1,5.0,,
PP-15129,Neon,Neon-26.1-S3,2.0,,
SMRTPP-661,H1,H1-26.1-S4,3.0,REL-881,Wochenendverteilung verbessern
SMRTPP-660,H1,H1-26.1-S4,3.0,REL-881,Wochenendverteilung verbessern
SMRTPP-659,H1,H1-26.1-S4,3.0,REL-881,Wochenendverteilung verbessern
SMRTPP-656,H1,H1-26.1-S4,3.0,REL-881,Wochenendverteilung verbessern
SMRTPP-655,H1,H1-26.1-S2,1.0,REL-881,Wochenendverteilung verbessern
SMRTPP-654,H1,H1-26.1-S3,4.0,REL-881,Wochenendverteilung verbessern
SMRTPP-650,H1,H1-26.1-S1,4.0,REL-881,Wochenendverteilung verbessern
SMRTPP-639,H1,H1-26.1-S2,5.0,REL-881,Wochenendverteilung verbessern
SMRTPP-638,H1,H1-26.1-S1,3.0,REL-881,Wochenendverteilung verbessern
PPCLOUD-13131,Zn2C,Zn2C-26.1-S1,5.0,REL-891,Technische Improvements Zinc PI26.1
PPCLOUD-13129,Zn2C,Zn2C-26.1-S2,8.0,REL-891,Technische Improvements Zinc PI26.1
PPCLOUD-13123,Zn2C,Zn2C-26.1-S4,5.0,REL-891,Technische Improvements Zinc PI26.1
PP-14908,Neon,Neon-26.1-S4,3.0,REL-885,Technical Improvements Neon 26.1
PP-14546,Neon,Neon-26.1-S4,3.0,REL-885,Technical Improvements Neon 26.1
NEON-804,Neon,Neon-26.1-S1,3.0,REL-885,Technical Improvements Neon 26.1
IAS-148,Neon,Neon-26.1-S4,1.0,REL-885,Technical Improvements Neon 26.1
IAS-147,Neon,Neon-26.1-S2,2.0,REL-885,Technical Improvements Neon 26.1
APIPP-1693,Neon,Neon-26.1-S4,2.0,REL-885,Technical Improvements Neon 26.1
APIPP-1679,Neon,Neon-26.1-S4,1.0,REL-885,Technical Improvements Neon 26.1
APIPP-1678,Neon,Neon-26.1-S4,2.0,REL-885,Technical Improvements Neon 26.1
APIPP-1677,Neon,Neon-26.1-S3,1.0,REL-885,Technical Improvements Neon 26.1
APIPP-1676,Neon,Neon-26.1-S3,2.0,REL-885,Technical Improvements Neon 26.1
SMRTPP-690,H1,H1-26.1-S3,3.0,REL-874,Technical Improvements 26.1
SMRTPP-683,H1,H1-26.1-S4,2.0,REL-874,Technical Improvements 26.1
SMRTPP-455,H1,H1-26.1-S4,5.0,REL-874,Technical Improvements 26.1
PPCLOUD-13289,Zn2C,Zn2C-26.1-S2,3.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13241,Zn2C,Zn2C-26.1-S2,5.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13053,Zn2C,Zn2C-26.1-S2,3.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13052,Zn2C,Zn2C-26.1-S4,5.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13048,Zn2C,Zn2C-26.1-S1,8.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13045,Zn2C,Zn2C-26.1-S2,3.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PPCLOUD-13042,Zn2C,Zn2C-26.1-S3,8.0,REL-825,Tagesübergreifenden Diensttausch inklusive Gegenvorschlag ermöglichen
PP-15196,H1,H1-26.1-S4,5.0,REL-899,PW | Reporting
SMRTPP-643,H1,H1-26.1-S4,3.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
SMRTPP-642,H1,H1-26.1-S2,1.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
SMRTPP-511,H1,H1-26.1-S2,3.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
SMRTPP-510,H1,H1-26.1-S1,5.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
PPCLOUD-13275,H1,H1-26.1-S2,3.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
PPCLOUD-13274,H1,H1-26.1-S2,2.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
PPCLOUD-13273,H1,H1-26.1-S1,1.0,REL-847,PW | Regelprüfung bei Eingabe eines Wunsches
SMRTPP-682,H1,H1-26.1-S1,1.0,REL-849,PW | Push-Benachrichtigungen
PP-15003,H1,H1-26.1-S1,1.0,REL-849,PW | Push-Benachrichtigungen
PP-14989,H1,H1-26.1-S1,1.0,REL-849,PW | Push-Benachrichtigungen
PP-14988,H1,H1-26.1-S1,3.0,REL-849,PW | Push-Benachrichtigungen
SMRTPP-657,H1,H1-26.1-S4,3.0,REL-879,PW | Migration / Roll-out
SMRTPP-637,H1,H1-26.1-S3,5.0,REL-879,PW | Migration / Roll-out
PPCLOUD-13324,H1,H1-26.1-S4,3.0,REL-879,PW | Migration / Roll-out
PPCLOUD-13290,H1,H1-26.1-S3,1.0,REL-879,PW | Migration / Roll-out
APIPP-1675,H1,H1-26.1-S2,3.0,REL-879,PW | Migration / Roll-out
APIGW-515,H1,H1-26.1-S2,3.0,REL-879,PW | Migration / Roll-out
NEON-667,Neon,Neon-26.1-S4,3.0,REL-862,On Prem Liquibase Installer für alle Workforce Lösungen
NEON-666,Neon,Neon-26.1-S3,4.0,REL-862,On Prem Liquibase Installer für alle Workforce Lösungen
NG-7167,H1,H1-26.1-S3,1.0,REL-878,Kurve Maintainability sicherstellen bis Ende 2027 (2/2 26.1)
NG-7166,H1,H1-26.1-S2,2.0,REL-878,Kurve Maintainability sicherstellen bis Ende 2027 (2/2 26.1)
NG-7142,H1,H1-26.1-S2,2.0,REL-878,Kurve Maintainability sicherstellen bis Ende 2027 (2/2 26.1)
NG-7141,H1,H1-26.1-S1,2.0,REL-878,Kurve Maintainability sicherstellen bis Ende 2027 (2/2 26.1)
NG-7139,H1,H1-26.1-S1,2.0,REL-878,Kurve Maintainability sicherstellen bis Ende 2027 (2/2 26.1)
PP-15210,Neon,Neon-26.1-S2,3.0,REL-750,Konfliktcheck in Library auslagern/Drools ersetzen mit Java
